_id,Year,Month,Month_name,Day_of_week,Day_type,Mode,Pax_daily
5,2018,1,Jan,Friday,School Holiday Weekday,Tram,529250
10,2018,1,Jan,Monday,Normal Weekday,Tram,534800
15,2018,1,Jan,Monday,School Holiday Weekday,Tram,562150
20,2018,1,Jan,Saturday,Weekend,Tram,393050
25,2018,1,Jan,Sunday,Weekend,Tram,325900
30,2018,1,Jan,Thursday,School Holiday Weekday,Tram,563600
35,2018,1,Jan,Tuesday,Normal Weekday,Tram,610600
40,2018,1,Jan,Tuesday,School Holiday Weekday,Tram,558300
45,2018,1,Jan,Wednesday,Normal Weekday,Tram,611100
50,2018,1,Jan,Wednesday,School Holiday Weekday,Tram,570050
55,2018,2,Feb,Friday,Normal Weekday,Tram,691500
60,2018,2,Feb,Monday,Normal Weekday,Tram,657250
65,2018,2,Feb,Saturday,Weekend,Tram,469550
70,2018,2,Feb,Sunday,Weekend,Tram,375550
75,2018,2,Feb,Thursday,Normal Weekday,Tram,672900
80,2018,2,Feb,Tuesday,Normal Weekday,Tram,686050
85,2018,2,Feb,Wednesday,Normal Weekday,Tram,692450
90,2018,3,Mar,Friday,Normal Weekday,Tram,792550
95,2018,3,Mar,Monday,Normal Weekday,Tram,718900
100,2018,3,Mar,Saturday,Weekend,Tram,493250
105,2018,3,Mar,Sunday,Weekend,Tram,377700
110,2018,3,Mar,Thursday,Normal Weekday,Tram,766750
115,2018,3,Mar,Tuesday,Normal Weekday,Tram,748800
120,2018,3,Mar,Wednesday,Normal Weekday,Tram,757900
125,2018,4,Apr,Friday,Normal Weekday,Tram,731500
130,2018,4,Apr,Friday,School Holiday Weekday,Tram,652150
135,2018,4,Apr,Monday,Normal Weekday,Tram,639350
140,2018,4,Apr,Monday,School Holiday Weekday,Tram,611850
145,2018,4,Apr,Saturday,Weekend,Tram,457600
150,2018,4,Apr,Sunday,Weekend,Tram,360450
155,2018,4,Apr,Thursday,Normal Weekday,Tram,715450
160,2018,4,Apr,Thursday,School Holiday Weekday,Tram,650600
165,2018,4,Apr,Tuesday,Normal Weekday,Tram,684300
170,2018,4,Apr,Tuesday,School Holiday Weekday,Tram,619750
175,2018,4,Apr,Wednesday,Normal Weekday,Tram,702850
180,2018,4,Apr,Wednesday,School Holiday Weekday,Tram,646200
185,2018,5,May,Friday,Normal Weekday,Tram,652250
190,2018,5,May,Monday,Normal Weekday,Tram,597750
195,2018,5,May,Saturday,Weekend,Tram,449850
200,2018,5,May,Sunday,Weekend,Tram,326350
205,2018,5,May,Thursday,Normal Weekday,Tram,647850
210,2018,5,May,Tuesday,Normal Weekday,Tram,630450
215,2018,5,May,Wednesday,Normal Weekday,Tram,639050
220,2018,6,Jun,Friday,Normal Weekday,Tram,628200
225,2018,6,Jun,Monday,Normal Weekday,Tram,585250
230,2018,6,Jun,Saturday,Weekend,Tram,406900
235,2018,6,Jun,Sunday,Weekend,Tram,294400
240,2018,6,Jun,Thursday,Normal Weekday,Tram,624850
245,2018,6,Jun,Tuesday,Normal Weekday,Tram,610350
250,2018,6,Jun,Wednesday,Normal Weekday,Tram,623650
255,2018,7,Jul,Friday,Normal Weekday,Tram,685200
260,2018,7,Jul,Friday,School Holiday Weekday,Tram,634650
265,2018,7,Jul,Monday,Normal Weekday,Tram,622050
270,2018,7,Jul,Monday,School Holiday Weekday,Tram,577400
275,2018,7,Jul,Saturday,Weekend,Tram,424450
280,2018,7,Jul,Sunday,Weekend,Tram,319650
285,2018,7,Jul,Thursday,Normal Weekday,Tram,660750
290,2018,7,Jul,Thursday,School Holiday Weekday,Tram,617200
295,2018,7,Jul,Tuesday,Normal Weekday,Tram,635850
300,2018,7,Jul,Tuesday,School Holiday Weekday,Tram,609650
305,2018,7,Jul,Wednesday,Normal Weekday,Tram,657200
310,2018,7,Jul,Wednesday,School Holiday Weekday,Tram,607700
315,2018,8,Aug,Friday,Normal Weekday,Tram,689300
320,2018,8,Aug,Monday,Normal Weekday,Tram,634900
325,2018,8,Aug,Saturday,Weekend,Tram,435900
330,2018,8,Aug,Sunday,Weekend,Tram,338350
335,2018,8,Aug,Thursday,Normal Weekday,Tram,668700
340,2018,8,Aug,Tuesday,Normal Weekday,Tram,656900
345,2018,8,Aug,Wednesday,Normal Weekday,Tram,672250
350,2018,9,Sep,Friday,Normal Weekday,Tram,653350
355,2018,9,Sep,Monday,Normal Weekday,Tram,588000
360,2018,9,Sep,Monday,School Holiday Weekday,Tram,581500
365,2018,9,Sep,Saturday,Weekend,Tram,423450
370,2018,9,Sep,Sunday,Weekend,Tram,325150
375,2018,9,Sep,Thursday,Normal Weekday,Tram,622100
380,2018,9,Sep,Thursday,School Holiday Weekday,Tram,666100
385,2018,9,Sep,Tuesday,Normal Weekday,Tram,611650
390,2018,9,Sep,Tuesday,School Holiday Weekday,Tram,620850
395,2018,9,Sep,Wednesday,Normal Weekday,Tram,614750
400,2018,9,Sep,Wednesday,School Holiday Weekday,Tram,643800
405,2018,10,Oct,Friday,Normal Weekday,Tram,719350
410,2018,10,Oct,Friday,School Holiday Weekday,Tram,707000
415,2018,10,Oct,Monday,Normal Weekday,Tram,639150
420,2018,10,Oct,Monday,School Holiday Weekday,Tram,654500
425,2018,10,Oct,Saturday,Weekend,Tram,450800
430,2018,10,Oct,Sunday,Weekend,Tram,338900
435,2018,10,Oct,Thursday,Normal Weekday,Tram,693550
440,2018,10,Oct,Thursday,School Holiday Weekday,Tram,684000
445,2018,10,Oct,Tuesday,Normal Weekday,Tram,652250
450,2018,10,Oct,Tuesday,School Holiday Weekday,Tram,689600
455,2018,10,Oct,Wednesday,Normal Weekday,Tram,676550
460,2018,10,Oct,Wednesday,School Holiday Weekday,Tram,673050
465,2018,11,Nov,Friday,Normal Weekday,Tram,692300
470,2018,11,Nov,Monday,Normal Weekday,Tram,634800
475,2018,11,Nov,Saturday,Weekend,Tram,413500
480,2018,11,Nov,Sunday,Weekend,Tram,315650
485,2018,11,Nov,Thursday,Normal Weekday,Tram,696800
490,2018,11,Nov,Tuesday,Normal Weekday,Tram,667800
495,2018,11,Nov,Wednesday,Normal Weekday,Tram,688200
500,2018,12,Dec,Friday,Normal Weekday,Tram,662750
505,2018,12,Dec,Friday,School Holiday Weekday,Tram,423500
510,2018,12,Dec,Monday,Normal Weekday,Tram,655150
515,2018,12,Dec,Monday,School Holiday Weekday,Tram,349950
520,2018,12,Dec,Saturday,Weekend,Tram,389500
525,2018,12,Dec,Sunday,Weekend,Tram,301150
530,2018,12,Dec,Thursday,Normal Weekday,Tram,665400
535,2018,12,Dec,Thursday,School Holiday Weekday,Tram,385400
540,2018,12,Dec,Tuesday,Normal Weekday,Tram,688900
545,2018,12,Dec,Wednesday,Normal Weekday,Tram,692200
550,2019,1,Jan,Friday,School Holiday Weekday,Tram,546950
555,2019,1,Jan,Monday,School Holiday Weekday,Tram,583800
560,2019,1,Jan,Saturday,Weekend,Tram,392950
565,2019,1,Jan,Sunday,Weekend,Tram,317200
570,2019,1,Jan,Thursday,Normal Weekday,Tram,655150
575,2019,1,Jan,Thursday,School Holiday Weekday,Tram,592600
580,2019,1,Jan,Tuesday,School Holiday Weekday,Tram,604700
585,2019,1,Jan,Wednesday,Normal Weekday,Tram,592150
590,2019,1,Jan,Wednesday,School Holiday Weekday,Tram,603250
595,2019,2,Feb,Friday,Normal Weekday,Tram,665950
600,2019,2,Feb,Monday,Normal Weekday,Tram,614650
605,2019,2,Feb,Saturday,Weekend,Tram,492550
610,2019,2,Feb,Sunday,Weekend,Tram,393300
615,2019,2,Feb,Thursday,Normal Weekday,Tram,656450
620,2019,2,Feb,Tuesday,Normal Weekday,Tram,642400
625,2019,2,Feb,Wednesday,Normal Weekday,Tram,655950
630,2019,3,Mar,Friday,Normal Weekday,Tram,714200
635,2019,3,Mar,Monday,Normal Weekday,Tram,675100
640,2019,3,Mar,Saturday,Weekend,Tram,545100
645,2019,3,Mar,Sunday,Weekend,Tram,418750
650,2019,3,Mar,Thursday,Normal Weekday,Tram,721900
655,2019,3,Mar,Tuesday,Normal Weekday,Tram,700650
660,2019,3,Mar,Wednesday,Normal Weekday,Tram,713900
665,2019,4,Apr,Friday,Normal Weekday,Tram,656500
670,2019,4,Apr,Friday,School Holiday Weekday,Tram,731000
675,2019,4,Apr,Monday,Normal Weekday,Tram,640150
680,2019,4,Apr,Monday,School Holiday Weekday,Tram,653500
685,2019,4,Apr,Saturday,Weekend,Tram,531850
690,2019,4,Apr,Sunday,Weekend,Tram,393950
695,2019,4,Apr,Thursday,Normal Weekday,Tram,705850
700,2019,4,Apr,Thursday,School Holiday Weekday,Tram,703200
705,2019,4,Apr,Tuesday,Normal Weekday,Tram,642050
710,2019,4,Apr,Tuesday,School Holiday Weekday,Tram,700100
715,2019,4,Apr,Wednesday,Normal Weekday,Tram,658600
720,2019,4,Apr,Wednesday,School Holiday Weekday,Tram,697550
725,2019,5,May,Friday,Normal Weekday,Tram,673150
730,2019,5,May,Monday,Normal Weekday,Tram,622150
735,2019,5,May,Saturday,Weekend,Tram,465700
740,2019,5,May,Sunday,Weekend,Tram,348400
745,2019,5,May,Thursday,Normal Weekday,Tram,671950
750,2019,5,May,Tuesday,Normal Weekday,Tram,652850
755,2019,5,May,Wednesday,Normal Weekday,Tram,665800
760,2019,6,Jun,Friday,Normal Weekday,Tram,632350
765,2019,6,Jun,Monday,Normal Weekday,Tram,582500
770,2019,6,Jun,Saturday,Weekend,Tram,362800
775,2019,6,Jun,Sunday,Weekend,Tram,277150
780,2019,6,Jun,Thursday,Normal Weekday,Tram,615900
785,2019,6,Jun,Tuesday,Normal Weekday,Tram,605700
790,2019,6,Jun,Wednesday,Normal Weekday,Tram,605800
795,2019,7,Jul,Friday,Normal Weekday,Tram,635000
800,2019,7,Jul,Friday,School Holiday Weekday,Tram,612500
805,2019,7,Jul,Monday,Normal Weekday,Tram,603600
810,2019,7,Jul,Monday,School Holiday Weekday,Tram,579950
815,2019,7,Jul,Saturday,Weekend,Tram,383850
820,2019,7,Jul,Sunday,Weekend,Tram,277800
825,2019,7,Jul,Thursday,Normal Weekday,Tram,631850
830,2019,7,Jul,Thursday,School Holiday Weekday,Tram,604750
835,2019,7,Jul,Tuesday,Normal Weekday,Tram,623200
840,2019,7,Jul,Tuesday,School Holiday Weekday,Tram,598950
845,2019,7,Jul,Wednesday,Normal Weekday,Tram,637650
850,2019,7,Jul,Wednesday,School Holiday Weekday,Tram,609350
855,2019,8,Aug,Friday,Normal Weekday,Tram,645150
860,2019,8,Aug,Monday,Normal Weekday,Tram,638200
865,2019,8,Aug,Saturday,Weekend,Tram,388350
870,2019,8,Aug,Sunday,Weekend,Tram,289950
875,2019,8,Aug,Thursday,Normal Weekday,Tram,677850
880,2019,8,Aug,Tuesday,Normal Weekday,Tram,659750
885,2019,8,Aug,Wednesday,Normal Weekday,Tram,667650
890,2019,9,Sep,Friday,Normal Weekday,Tram,674650
895,2019,9,Sep,Monday,Normal Weekday,Tram,612000
900,2019,9,Sep,Monday,School Holiday Weekday,Tram,591050
905,2019,9,Sep,Saturday,Weekend,Tram,350550
910,2019,9,Sep,Sunday,Weekend,Tram,268300
915,2019,9,Sep,Thursday,Normal Weekday,Tram,658350
920,2019,9,Sep,Thursday,School Holiday Weekday,Tram,471500
925,2019,9,Sep,Tuesday,Normal Weekday,Tram,642050
930,2019,9,Sep,Tuesday,School Holiday Weekday,Tram,645950
935,2019,9,Sep,Wednesday,Normal Weekday,Tram,656500
940,2019,9,Sep,Wednesday,School Holiday Weekday,Tram,661950
945,2019,10,Oct,Friday,Normal Weekday,Tram,632900
950,2019,10,Oct,Friday,School Holiday Weekday,Tram,617750
955,2019,10,Oct,Monday,Normal Weekday,Tram,588350
960,2019,10,Oct,Saturday,Weekend,Tram,395100
965,2019,10,Oct,Sunday,Weekend,Tram,305450
970,2019,10,Oct,Thursday,Normal Weekday,Tram,617550
975,2019,10,Oct,Thursday,School Holiday Weekday,Tram,626900
980,2019,10,Oct,Tuesday,Normal Weekday,Tram,604100
985,2019,10,Oct,Tuesday,School Holiday Weekday,Tram,610150
990,2019,10,Oct,Wednesday,Normal Weekday,Tram,624950
995,2019,10,Oct,Wednesday,School Holiday Weekday,Tram,622000
1000,2019,11,Nov,Friday,Normal Weekday,Tram,624950
1005,2019,11,Nov,Monday,Normal Weekday,Tram,554050
1010,2019,11,Nov,Saturday,Weekend,Tram,400700
1015,2019,11,Nov,Sunday,Weekend,Tram,312200
1020,2019,11,Nov,Thursday,Normal Weekday,Tram,558750
1025,2019,11,Nov,Tuesday,Normal Weekday,Tram,593300
1030,2019,11,Nov,Wednesday,Normal Weekday,Tram,608650
1035,2019,12,Dec,Friday,Normal Weekday,Tram,566950
1040,2019,12,Dec,Friday,School Holiday Weekday,Tram,358900
1045,2019,12,Dec,Monday,Normal Weekday,Tram,542400
1050,2019,12,Dec,Monday,School Holiday Weekday,Tram,353250
1055,2019,12,Dec,Saturday,Weekend,Tram,398950
1060,2019,12,Dec,Sunday,Weekend,Tram,318150
1065,2019,12,Dec,Thursday,Normal Weekday,Tram,556700
1070,2019,12,Dec,Tuesday,Normal Weekday,Tram,589050
1075,2019,12,Dec,Tuesday,School Holiday Weekday,Tram,316400
1080,2019,12,Dec,Wednesday,Normal Weekday,Tram,580800
1085,2020,1,Jan,Friday,Normal Weekday,Tram,459250
1090,2020,1,Jan,Friday,School Holiday Weekday,Tram,496550
1095,2020,1,Jan,Monday,School Holiday Weekday,Tram,484100
1100,2020,1,Jan,Saturday,Weekend,Tram,367500
1105,2020,1,Jan,Sunday,Weekend,Tram,271600
1110,2020,1,Jan,Thursday,Normal Weekday,Tram,389050
1115,2020,1,Jan,Thursday,School Holiday Weekday,Tram,503500
1120,2020,1,Jan,Tuesday,School Holiday Weekday,Tram,488950
1125,2020,1,Jan,Wednesday,Normal Weekday,Tram,551000
1130,2020,1,Jan,Wednesday,School Holiday Weekday,Tram,525250
1135,2020,2,Feb,Friday,Normal Weekday,Tram,598550
1140,2020,2,Feb,Monday,Normal Weekday,Tram,523500
1145,2020,2,Feb,Saturday,Weekend,Tram,392550
1150,2020,2,Feb,Sunday,Weekend,Tram,328250
1155,2020,2,Feb,Thursday,Normal Weekday,Tram,556950
1160,2020,2,Feb,Tuesday,Normal Weekday,Tram,575150
1165,2020,2,Feb,Wednesday,Normal Weekday,Tram,591100
1170,2020,3,Mar,Friday,Normal Weekday,Tram,459650
1175,2020,3,Mar,Friday,School Holiday Weekday,Tram,74850
1180,2020,3,Mar,Monday,Normal Weekday,Tram,388650
1185,2020,3,Mar,Monday,School Holiday Weekday,Tram,62300
1190,2020,3,Mar,Saturday,Weekend,Tram,212100
1195,2020,3,Mar,Sunday,Weekend,Tram,186150
1200,2020,3,Mar,Thursday,Normal Weekday,Tram,471750
1205,2020,3,Mar,Thursday,School Holiday Weekday,Tram,80350
1210,2020,3,Mar,Tuesday,Normal Weekday,Tram,523300
1215,2020,3,Mar,Tuesday,School Holiday Weekday,Tram,81500
1220,2020,3,Mar,Wednesday,Normal Weekday,Tram,502700
1225,2020,3,Mar,Wednesday,School Holiday Weekday,Tram,89000
1230,2020,4,Apr,Friday,Normal Weekday,Tram,58150
1235,2020,4,Apr,Friday,School Holiday Weekday,Tram,60050
1240,2020,4,Apr,Monday,Normal Weekday,Tram,55250
1245,2020,4,Apr,Monday,School Holiday Weekday,Tram,50000
1250,2020,4,Apr,Saturday,Weekend,Tram,31750
1255,2020,4,Apr,Sunday,Weekend,Tram,24950
1260,2020,4,Apr,Thursday,Normal Weekday,Tram,59000
1265,2020,4,Apr,Thursday,School Holiday Weekday,Tram,55650
1270,2020,4,Apr,Tuesday,Normal Weekday,Tram,58850
1275,2020,4,Apr,Tuesday,School Holiday Weekday,Tram,51600
1280,2020,4,Apr,Wednesday,Normal Weekday,Tram,55450
1285,2020,4,Apr,Wednesday,School Holiday Weekday,Tram,54750
1290,2020,5,May,Friday,Normal Weekday,Tram,98500
1295,2020,5,May,Monday,Normal Weekday,Tram,87750
1300,2020,5,May,Saturday,Weekend,Tram,66850
1305,2020,5,May,Sunday,Weekend,Tram,50650
1310,2020,5,May,Thursday,Normal Weekday,Tram,97950
1315,2020,5,May,Tuesday,Normal Weekday,Tram,94550
1320,2020,5,May,Wednesday,Normal Weekday,Tram,96600
1325,2020,6,Jun,Friday,Normal Weekday,Tram,167850
1330,2020,6,Jun,Monday,Normal Weekday,Tram,135250
1335,2020,6,Jun,Monday,School Holiday Weekday,Tram,137950
1340,2020,6,Jun,Saturday,Weekend,Tram,118150
1345,2020,6,Jun,Sunday,Weekend,Tram,84950
1350,2020,6,Jun,Thursday,Normal Weekday,Tram,158500
1355,2020,6,Jun,Tuesday,Normal Weekday,Tram,148050
1360,2020,6,Jun,Tuesday,School Holiday Weekday,Tram,139450
1365,2020,6,Jun,Wednesday,Normal Weekday,Tram,153450
1370,2020,7,Jul,Friday,Normal Weekday,Tram,76900
1375,2020,7,Jul,Friday,School Holiday Weekday,Tram,106250
1380,2020,7,Jul,Monday,Normal Weekday,Tram,73800
1385,2020,7,Jul,Monday,School Holiday Weekday,Tram,115700
1390,2020,7,Jul,Saturday,Weekend,Tram,57500
1395,2020,7,Jul,Sunday,Weekend,Tram,41150
1400,2020,7,Jul,Thursday,Normal Weekday,Tram,77400
1405,2020,7,Jul,Thursday,School Holiday Weekday,Tram,110000
1410,2020,7,Jul,Tuesday,Normal Weekday,Tram,78700
1415,2020,7,Jul,Tuesday,School Holiday Weekday,Tram,122550
1420,2020,7,Jul,Wednesday,Normal Weekday,Tram,78800
1425,2020,7,Jul,Wednesday,School Holiday Weekday,Tram,141400
1430,2020,8,Aug,Friday,Normal Weekday,Tram,43950
1435,2020,8,Aug,Monday,Normal Weekday,Tram,45500
1440,2020,8,Aug,Saturday,Weekend,Tram,30600
1445,2020,8,Aug,Sunday,Weekend,Tram,22750
1450,2020,8,Aug,Thursday,Normal Weekday,Tram,44400
1455,2020,8,Aug,Tuesday,Normal Weekday,Tram,46600
1460,2020,8,Aug,Wednesday,Normal Weekday,Tram,47450
1465,2020,9,Sep,Friday,Normal Weekday,Tram,45600
1470,2020,9,Sep,Friday,School Holiday Weekday,Tram,44850
1475,2020,9,Sep,Monday,Normal Weekday,Tram,41550
1480,2020,9,Sep,Monday,School Holiday Weekday,Tram,46250
1485,2020,9,Sep,Saturday,Weekend,Tram,35400
1490,2020,9,Sep,Sunday,Weekend,Tram,29600
1495,2020,9,Sep,Thursday,Normal Weekday,Tram,43750
1500,2020,9,Sep,Thursday,School Holiday Weekday,Tram,46550
1505,2020,9,Sep,Tuesday,Normal Weekday,Tram,42250
1510,2020,9,Sep,Tuesday,School Holiday Weekday,Tram,49450
1515,2020,9,Sep,Wednesday,Normal Weekday,Tram,43250
1520,2020,9,Sep,Wednesday,School Holiday Weekday,Tram,47750
1525,2020,10,Oct,Friday,Normal Weekday,Tram,79250
1530,2020,10,Oct,Friday,School Holiday Weekday,Tram,56050
1535,2020,10,Oct,Monday,Normal Weekday,Tram,62350
1540,2020,10,Oct,Saturday,Weekend,Tram,82000
1545,2020,10,Oct,Sunday,Weekend,Tram,47550
1550,2020,10,Oct,Thursday,Normal Weekday,Tram,74950
1555,2020,10,Oct,Thursday,School Holiday Weekday,Tram,53200
1560,2020,10,Oct,Tuesday,Normal Weekday,Tram,66250
1565,2020,10,Oct,Wednesday,Normal Weekday,Tram,75000
1570,2020,11,Nov,Friday,Normal Weekday,Tram,179900
1575,2020,11,Nov,Monday,Normal Weekday,Tram,147650
1580,2020,11,Nov,Saturday,Weekend,Tram,167950
1585,2020,11,Nov,Sunday,Weekend,Tram,108850
1590,2020,11,Nov,Thursday,Normal Weekday,Tram,162950
1595,2020,11,Nov,Tuesday,Normal Weekday,Tram,158350
1600,2020,11,Nov,Wednesday,Normal Weekday,Tram,153250
1605,2020,12,Dec,Friday,Normal Weekday,Tram,271850
1610,2020,12,Dec,Monday,Normal Weekday,Tram,198500
1615,2020,12,Dec,Monday,School Holiday Weekday,Tram,216650
1620,2020,12,Dec,Saturday,Weekend,Tram,190100
1625,2020,12,Dec,Sunday,Weekend,Tram,131350
1630,2020,12,Dec,Thursday,Normal Weekday,Tram,244250
1635,2020,12,Dec,Thursday,School Holiday Weekday,Tram,151850
1640,2020,12,Dec,Tuesday,Normal Weekday,Tram,211200
1645,2020,12,Dec,Tuesday,School Holiday Weekday,Tram,197700
1650,2020,12,Dec,Wednesday,Normal Weekday,Tram,237000
1655,2020,12,Dec,Wednesday,School Holiday Weekday,Tram,207200
1660,2021,1,Jan,Friday,Normal Weekday,Tram,232100
1665,2021,1,Jan,Friday,School Holiday Weekday,Tram,222250
1670,2021,1,Jan,Monday,School Holiday Weekday,Tram,168150
1675,2021,1,Jan,Saturday,Weekend,Tram,166500
1680,2021,1,Jan,Sunday,Weekend,Tram,122100
1685,2021,1,Jan,Thursday,Normal Weekday,Tram,268350
1690,2021,1,Jan,Thursday,School Holiday Weekday,Tram,209300
1695,2021,1,Jan,Tuesday,School Holiday Weekday,Tram,196200
1700,2021,1,Jan,Wednesday,School Holiday Weekday,Tram,218700
1705,2021,2,Feb,Friday,Normal Weekday,Tram,270150
1710,2021,2,Feb,Monday,Normal Weekday,Tram,201950
1715,2021,2,Feb,Saturday,Weekend,Tram,170250
1720,2021,2,Feb,Sunday,Weekend,Tram,120550
1725,2021,2,Feb,Thursday,Normal Weekday,Tram,265500
1730,2021,2,Feb,Tuesday,Normal Weekday,Tram,213950
1735,2021,2,Feb,Wednesday,Normal Weekday,Tram,228200
1740,2021,3,Mar,Friday,Normal Weekday,Tram,329450
1745,2021,3,Mar,Monday,Normal Weekday,Tram,288500
1750,2021,3,Mar,Saturday,Weekend,Tram,241500
1755,2021,3,Mar,Sunday,Weekend,Tram,178350
1760,2021,3,Mar,Thursday,Normal Weekday,Tram,324600
1765,2021,3,Mar,Tuesday,Normal Weekday,Tram,308200
1770,2021,3,Mar,Wednesday,Normal Weekday,Tram,325200
1775,2021,4,Apr,Friday,Normal Weekday,Tram,375200
1780,2021,4,Apr,Friday,School Holiday Weekday,Tram,362350
1785,2021,4,Apr,Monday,Normal Weekday,Tram,312100
1790,2021,4,Apr,Monday,School Holiday Weekday,Tram,316000
1795,2021,4,Apr,Saturday,Weekend,Tram,269700
1800,2021,4,Apr,Sunday,Weekend,Tram,185250
1805,2021,4,Apr,Thursday,Normal Weekday,Tram,367050
1810,2021,4,Apr,Thursday,School Holiday Weekday,Tram,365900
1815,2021,4,Apr,Tuesday,Normal Weekday,Tram,341250
1820,2021,4,Apr,Tuesday,School Holiday Weekday,Tram,327700
1825,2021,4,Apr,Wednesday,Normal Weekday,Tram,374100
1830,2021,4,Apr,Wednesday,School Holiday Weekday,Tram,354700
1835,2021,5,May,Friday,Normal Weekday,Tram,296100
1840,2021,5,May,Monday,Normal Weekday,Tram,268650
1845,2021,5,May,Saturday,Weekend,Tram,248000
1850,2021,5,May,Sunday,Weekend,Tram,176700
1855,2021,5,May,Thursday,Normal Weekday,Tram,335900
1860,2021,5,May,Tuesday,Normal Weekday,Tram,345800
1865,2021,5,May,Wednesday,Normal Weekday,Tram,345850
1870,2021,6,Jun,Friday,Normal Weekday,Tram,176300
1875,2021,6,Jun,Monday,Normal Weekday,Tram,140450
1880,2021,6,Jun,Monday,School Holiday Weekday,Tram,211550
1885,2021,6,Jun,Saturday,Weekend,Tram,160200
1890,2021,6,Jun,Sunday,Weekend,Tram,115300
1895,2021,6,Jun,Thursday,Normal Weekday,Tram,145050
1900,2021,6,Jun,Tuesday,Normal Weekday,Tram,138950
1905,2021,6,Jun,Tuesday,School Holiday Weekday,Tram,230300
1910,2021,6,Jun,Wednesday,Normal Weekday,Tram,137550
1915,2021,6,Jun,Wednesday,School Holiday Weekday,Tram,241050
1920,2021,7,Jul,Friday,Normal Weekday,Tram,121250
1925,2021,7,Jul,Friday,School Holiday Weekday,Tram,254150
1930,2021,7,Jul,Monday,Normal Weekday,Tram,129450
1935,2021,7,Jul,Monday,School Holiday Weekday,Tram,213900
1940,2021,7,Jul,Saturday,Weekend,Tram,147950
1945,2021,7,Jul,Sunday,Weekend,Tram,97650
1950,2021,7,Jul,Thursday,Normal Weekday,Tram,179400
1955,2021,7,Jul,Thursday,School Holiday Weekday,Tram,249950
1960,2021,7,Jul,Tuesday,Normal Weekday,Tram,142950
1965,2021,7,Jul,Tuesday,School Holiday Weekday,Tram,238350
1970,2021,7,Jul,Wednesday,Normal Weekday,Tram,177400
1975,2021,7,Jul,Wednesday,School Holiday Weekday,Tram,251850
1980,2021,8,Aug,Friday,Normal Weekday,Tram,72800
1985,2021,8,Aug,Monday,Normal Weekday,Tram,97350
1990,2021,8,Aug,Saturday,Weekend,Tram,51050
1995,2021,8,Aug,Sunday,Weekend,Tram,60700
2000,2021,8,Aug,Thursday,Normal Weekday,Tram,110100
2005,2021,8,Aug,Tuesday,Normal Weekday,Tram,102200
2010,2021,8,Aug,Wednesday,Normal Weekday,Tram,112300
2015,2021,9,Sep,Friday,Normal Weekday,Tram,72400
2020,2021,9,Sep,Monday,Normal Weekday,Tram,68950
2025,2021,9,Sep,Monday,School Holiday Weekday,Tram,72050
2030,2021,9,Sep,Saturday,Weekend,Tram,43800
2035,2021,9,Sep,Sunday,Weekend,Tram,41000
2040,2021,9,Sep,Thursday,Normal Weekday,Tram,74450
